ID,Sexo,Idade,CartaodeCredito,ChequeEspecial,Renda,LimiteCartaodeCredito,LimiteChequeEspecial,Devedor,SaldoDevedor
1,0,26,0,0,2471.51,0,0,0,0
2,1,25,1,1,2781.9,4172.85,2781.9,0,0
3,0,29,0,0,2567.38,0,0,0,0
4,1,29,1,0,3329.5,4994.24,0,0,0
5,1,19,0,1,2074.08,0,2074.08,1,5887.33
6,0,34,0,0,3513.94,0,0,1,0
7,0,30,1,0,3172.4,4758.6,0,0,0
8,1,39,1,0,3979.41,5969.12,0,0,0
9,0,32,1,0,3056.95,4585.42,0,1,16333.89
10,0,28,0,1,2703.81,0,2703.81,1,6777.8
11,1,41,0,1,3852.43,0,3852.43,0,0
12,0,41,0,0,4607.86,0,0,0,0
13,0,25,0,1,2649.87,0,2649.87,0,0
14,0,31,1,0,3066.29,4599.44,0,1,18623.26
15,0,29,0,0,2569.73,0,0,1,0
16,1,30,0,1,3095.96,0,3095.96,1,8959.95
17,0,30,0,0,2698.04,0,0,0,0
18,0,24,1,0,2195.61,3293.42,0,0,0
19,0,31,1,0,3732.02,5598.04,0,1,19248.87
20,1,36,1,0,3097.45,4646.17,0,1,16704.84
21,1,29,0,1,2643.93,0,2643.93,0,0
22,0,29,0,0,2731.57,0,0,0,0
23,0,35,1,0,3291.49,4937.23,0,0,0
24,1,33,1,1,2928.58,4392.86,2928.58,0,0
25,0,23,0,0,2256.82,0,0,0,0
26,1,30,1,1,2688.59,4032.88,2688.59,0,0
27,0,36,0,0,4083.29,0,0,0,0
28,0,35,0,0,3543.23,0,0,1,0
29,0,31,0,0,3366.03,0,0,1,0
30,0,32,1,1,2750.26,4125.39,2750.26,0,0
31,1,25,1,0,2496.39,3744.58,0,0,0
32,1,31,1,1,3269.13,4903.69,3269.13,1,23822.31
33,0,26,0,0,2625.51,0,0,0,0
34,1,28,1,1,2804.93,4207.39,2804.93,0,0
35,0,33,1,0,2958.69,4438.03,0,1,13803.33
36,0,25,1,0,2342.82,3514.23,0,0,0
37,1,31,1,1,2974.48,4461.72,2974.48,0,0
38,0,31,0,0,2851.26,0,0,1,0
39,0,30,1,0,3229.14,4843.71,0,0,0
40,0,37,0,0,4351.06,0,0,0,0
41,0,25,0,1,2828.8,0,2828.8,0,0
42,0,32,1,1,3335.31,5002.96,3335.31,1,26251.67
43,0,29,1,0,2865.69,4298.54,0,0,0
44,0,28,1,0,2961.28,4441.92,0,1,9946.67
45,0,31,1,0,2855.53,4283.29,0,1,13727.19
46,0,25,0,0,2566.23,0,0,1,0
47,0,24,0,0,2439.95,0,0,0,0
48,0,28,1,0,2143.39,3215.09,0,0,0
49,0,37,0,0,4401.76,0,0,1,0
50,1,30,1,1,2600.53,3900.8,2600.53,0,0
51,0,31,0,0,2285.98,0,0,0,0
52,0,29,1,0,2899.9,4349.85,0,0,0
53,1,31,1,1,3133.3,4699.95,3133.3,0,0
54,0,26,0,0,2597.92,0,0,1,0
55,0,34,0,0,3447.79,0,0,1,0
56,0,32,0,0,2820.82,0,0,0,0
57,0,26,1,0,2754.05,4131.07,0,0,0
58,1,30,0,1,3414.21,0,3414.21,1,10170.2
59,1,32,1,1,2931.61,4397.41,2931.61,1,28312.75
60,0,32,0,0,3297.88,0,0,1,0
61,0,35,0,0,3405.18,0,0,0,0
62,0,27,0,0,2683.59,0,0,1,0
63,0,34,0,1,3731.74,0,3731.74,0,0
